STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/11/1972,60,70,,,,0,0,0,,61,42,,340,,,,,,21,,,,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/12/1972,70,70,,,,0,0,0,,55,41,,170,,,,,,15,,,,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/13/1972,100,100,,,,0.77,0,0,,55,41,,120,,,,,,21,,,,,1,1,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/14/1972,70,60,,,,0,0,0,,62,47,,330,,,,,,23,,,,,1,1,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/15/1972,90,100,,,,0.07,0,0,,49,44,,120,,,,,,15,,,,,1,1,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/16/1972,80,80,,,,0.69,0,0,,57,46,,80,,,,,,25.1,,,,,1,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/17/1972,40,40,,,,0,0,0,,74,43,,320,,,,,,23,,,,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/18/1972,0,10,,,,0,0,0,,60,49,,180,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/19/1972,40,30,,,,0,0,0,,72,48,,230,,,,,,17,,,,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/20/1972,90,100,,,,0.32,0,0,,77,44,,60,,,,,,23.9,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/21/1972,30,10,,,,0,0,0,,64,42,,340,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/22/1972,100,100,,,,0.67,0,0,,51,44,,80,,,,,,21.9,,,,,1,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/23/1972,60,40,,,,0.22,0,0,,59,45,,20,,,,,,19.9,,,,,1,1,1,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/24/1972,80,90,,,,0.24,0,0,,57,49,,190,,,,,,17,,,,,,,1,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/25/1972,50,60,,,,0,0,0,,55,45,,360,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/26/1972,20,20,,,,0,0,0,,58,41,,360,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/27/1972,60,60,,,,0,0,0,,57,47,,330,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/28/1972,30,50,,,,0,0,0,,56,42,,190,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/29/1972,40,50,,,,0,0,0,,69,49,,190,,,,,,16.1,,,,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",4/30/1972,60,50,,,,0,0,0,,67,51,,190,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/1/1972,100,90,,,,0.03,0,0,,63,55,,190,,,,,,17.9,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/2/1972,100,100,,,,0.03,0,0,,64,56,,200,,,,,,19,,,,,1,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/3/1972,100,100,,,,0.52,0,0,,62,55,,180,,,,,,23,,,,,1,1,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/4/1972,70,80,,,,0.16,0,0,,68,55,,200,,,,,,23.9,,,,,1,1,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/5/1972,70,90,,,,0,0,0,,64,54,,330,,,,,,25.9,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/6/1972,30,20,,,,0,0,0,,61,47,,190,,,,,,25.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/7/1972,60,60,,,,0.38,0,0,,75,54,,360,,,,,,19.9,,,,,,,1,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/8/1972,90,90,,,,0.04,0,0,,68,51,,80,,,,,,21,,,,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/9/1972,100,100,,,,0.86,0,0,,51,47,,50,,,,,,29.1,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/10/1972,60,70,,,,0.05,0,0,,61,45,,10,,,,,,19.9,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/11/1972,10,10,,,,0,0,0,,70,49,,240,,,,,,25.1,,,,,,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/12/1972,0,0,,,,0,0,0,,79,52,,290,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/13/1972,40,50,,,,0,0,0,,74,56,,190,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/14/1972,100,100,,,,0.65,0,0,,62,56,,150,,,,,,28,,,,,,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/15/1972,90,80,,,,0.31,0,0,,72,56,,150,,,,,,29.1,,,,,1,1,1,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/16/1972,80,70,,,,0,0,0,,71,55,,160,,,,,,17,,,,,1,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/17/1972,90,80,,,,0.14,0,0,,69,55,,170,,,,,,19.9,,,,,1,1,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/18/1972,60,60,,,,0,0,0,,69,54,,160,,,,,,14.1,,,,,1,1,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/19/1972,80,90,,,,0.09,0,0,,73,56,,50,,,,,,23.9,,,,,1,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/20/1972,100,100,,,,1.46,0,0,,62,56,,50,,,,,,21,,,,,1,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/21/1972,70,70,,,,0,0,0,,76,60,,180,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/22/1972,80,90,,,,0,0,0,,82,60,,60,,,,,,19.9,,,,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/23/1972,30,30,,,,0,0,0,,77,53,,140,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/24/1972,10,0,,,,0,0,0,,74,56,,150,,,,,,15,,,,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/25/1972,50,50,,,,0,0,0,,67,50,,90,,,,,,21.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/26/1972,0,0,,,,0,0,0,,64,45,,100,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/27/1972,0,0,,,,0,0,0,,65,46,,190,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/28/1972,0,0,,,,0,0,0,,75,53,,180,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/29/1972,30,30,,,,0,0,0,,72,55,,180,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/30/1972,70,70,,,,0,0,0,,71,59,,180,,,,,,23,,,,,1,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/31/1972,100,100,,,,0.3,0,0,,68,63,,180,,,,,,25.1,,,,,1,1,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/1/1972,70,80,,,,0.19,0,0,,78,63,,240,,,,,,21.9,,,,,1,1,,,,,,1,,,,,,1,,,,,,
